estado,0.0
Mato Grosso do Sul,20226.54
Minas Gerais,42625.01
Rondônia,368.33
Piauí,24915.04
Tocantins,52547.66
Mato Grosso,46212.17
Paraná,201.77
Pará,3127.91
Goiás,49445.24
Bahia,27679.65
Maranhão,51010.16
São Paulo,831.91
Distrito Federal,385.96
