consunit;area km²
Parque Nacional Grande Sertão Veredas;18,74
RPPN Pé da Laje;0,00
Estacao Ecologica Serra Geral do Tocantins;11,13
Estação Ecológica de Corumbá;0,01
Floresta Estadual São Judas Tadeu;0,05
APA Nascentes do Rio Paraguai;103,39
Parque Estadual da Serra de Caldas Novas;0,66
APA Piracicaba;1,57
Monumento Natural do Rio Formoso;0,02
APA Vale do Rio Manso;14,41
Parque Estadual Serra da Boa Esperança;2,16
RPPN Catedral do Jalapão;0,00
RPPN Cachoeira da Sucupira;0,02
Parque Estadual do Prosa;0,00
Monumento Natural da Gruta do Lago Azul;0,09
Apa da Bacia dos Ribeirões do Gama E Cabeça de Veado;6,77
Estação Ecológica de Santa Maria;0,83
APA Rio Cênico Rotas Monçoeiras;13,20
Floresta Nacional de Capão Bonito;0,15
Parque Natural Municipal Dujardes Caldeira;0,01
Estação Ecológica de Águas Emendadas;2,83
Parque Nacional da Serra da Bodoquena;11,53
APA Estrada Parque de Piraputanga;12,25
Apa Ibitinga;1,17
RPPN Parque Botânico dos Kaiapós;0,02
Parque Estadual Zé Bolo Flô;0,00
APA da Serra das Galés E da Portaria;49,64
RPPN Fazenda São Geraldo;0,07
Reserva Biológica do Cerradão;0,00
Refúgio de Vida Silvestre Lagoa Santa;0,00
RPPN Cambraia;0,03
Reserva Biológica do Gama;0,49
APA do Salto Magessi;21,29
APA Jupiá;0,00
Parque Natural Municipal das Orquídeas José Pinheiro de Souza;0,22
Parque Natural Municipal Claudino Francio;0,00
Parque Estadual de Vassununga;0,00
Estação Ecológica Municipal Guarani;0,00
Parque Natural Municipal do Córrego Mimoso;0,00
Parque Natural Municipal Templo dos Pilares;0,00
Estação Ecológica de Mogi-Guaçu;0,04
RPPN Fazenda Laranjal;0,02
Parque Estadual do Araguaia;3,96
Parque Nacional de Brasília;8,99
Parque Estadual Massairo Okamura;0,00
Parque Nacional dos Lençois Maranhenses;18,93
RPPN Fazenda São Miguel;0,00
Estação Ecológica de Uruçuí-Una;36,50
RPPN Reserva Ecológica Vale do Bugio;0,00
APA Ilhas E Várzeas do Rio Paraná;0,00
RPPN Toca da Paca;0,00
Estação Ecológica do Jardim Botânico;0,83
Parque Estadual Serra das Araras;1,28
Floresta Nacional de Silvânia;0,00
Parque Natural Municipal do Pequi;0,11
RPPN Vale das Copaibeiras;0,00
Area de Relevante Interesse Ecologico Mata das Perobas Tim Ferreira;0,00
Estação Ecológica Chapada de Nova Roma;0,26
Refugio de Vida Silvestre Veredas do Oeste Baiano;28,10
RPPN Cabeceira da Lagoa;0,10
Parque Estadual Grão Mogol;1,95
Parque Estadual Serra Azul;0,95
Apa Piracicaba Juqueri Mirim Área I;15,35
Parque Natural Municipal do Basalto;0,00
